Crop,Crop_Year,Season,State,Yield,Rainfall,Avg_ONI,ENSO_Phase,ENSO_Intensity,Rainfall_Category,Year_Weight,Avg_Yield_By_Crop,Yield_Std_By_Crop,Avg_Rainfall_By_Crop,Rainfall_Deviation,Crop_Count,Season_Code
Arecanut,2012,Kharif,Andhra Pradesh,1.453333333,586.23,0.3,Neutral,Weak,Low,2.0,1.9986,0.9338,1671.8296,-1085.6,84,1
Arecanut,2013,Kharif,Andhra Pradesh,1.705,742.329999999999,-0.26,Neutral,Weak,Normal,2.0,1.9986,0.9338,1671.8296,-929.5,84,1
Arecanut,2014,Kharif,Andhra Pradesh,1.775,559.39,0.24,Neutral,Weak,Low,2.0,1.9986,0.9338,1671.8296,-1112.44,84,1
Arecanut,2015,Kharif,Andhra Pradesh,3.32,608.36,1.9,El Nino,Strong,Low,3.0,1.9986,0.9338,1671.8296,-1063.47,84,1
Arecanut,2016,Kharif,Andhra Pradesh,3.9125,726.59,-0.4,La Nina,Weak,Normal,3.0,1.9986,0.9338,1671.8296,-945.24,84,1
Arecanut,2017,Kharif,Andhra Pradesh,5.5825,681.1,-0.08,Neutral,Weak,Low,3.0,1.9986,0.9338,1671.8296,-990.73,84,1
Arecanut,2018,Kharif,Andhra Pradesh,4.153333333,618.42,0.36,Neutral,Weak,Low,3.0,1.9986,0.9338,1671.8296,-1053.41,84,1
Arecanut,2019,Kharif,Andhra Pradesh,6.6685,721.96,0.32,Neutral,Weak,Normal,3.0,1.9986,0.9338,1671.8296,-949.87,84,1
Arhar/Tur,1997,Kharif,Andhra Pradesh,0.197727273,421.52,1.82,El Nino,Strong,Low,1.0,0.8165,0.3225,920.5821,-499.06,514,1
Arhar/Tur,1997,Rabi,Andhra Pradesh,0.474,260.94,0.975,El Nino,Moderate,Low,1.0,0.8165,0.3225,920.5821,-659.64,514,2
Arhar/Tur,1998,Kharif,Andhra Pradesh,0.461818182,603.86,-0.94,La Nina,Moderate,Low,1.0,0.8165,0.3225,920.5821,-316.72,514,1
Arhar/Tur,1998,Rabi,Andhra Pradesh,0.56,277.78,0.25,El Nino,Weak,Low,1.0,0.8165,0.3225,920.5821,-642.8,514,2
Arhar/Tur,2000,Kharif,Andhra Pradesh,0.433181818,728.31,-0.56,La Nina,Moderate,Normal,1.0,0.8165,0.3225,920.5821,-192.27,514,1
Arhar/Tur,2000,Rabi,Andhra Pradesh,0.42375,137.53,-1.125,La Nina,Strong,Low,1.0,0.8165,0.3225,920.5821,-783.05,514,2
Arhar/Tur,2001,Kharif,Andhra Pradesh,0.465,503.26,-0.16,Neutral,Weak,Low,1.0,0.8165,0.3225,920.5821,-417.32,514,1
Arhar/Tur,2001,Rabi,Andhra Pradesh,0.46,356.02,-0.45,La Nina,Weak,Low,1.0,0.8165,0.3225,920.5821,-564.56,514,2
Arhar/Tur,2002,Kharif,Andhra Pradesh,0.337727273,368.88,0.92,El Nino,Moderate,Low,1.0,0.8165,0.3225,920.5821,-551.7,514,1
Arhar/Tur,2002,Rabi,Andhra Pradesh,0.299333333,236.12,0.575,Neutral,Moderate,Low,1.0,0.8165,0.3225,920.5821,-684.46,514,2
Arhar/Tur,2003,Kharif,Andhra Pradesh,0.424090909,578.76,0.1399999999999999,Neutral,Weak,Low,1.0,0.8165,0.3225,920.5821,-341.82,514,1
Arhar/Tur,2003,Rabi,Andhra Pradesh,0.41625,285.159999999999,0.575,El Nino,Moderate,Low,1.0,0.8165,0.3225,920.5821,-635.42,514,2
Arhar/Tur,2004,Kharif,Andhra Pradesh,0.479090909,531.9,0.5599999999999999,El Nino,Moderate,Low,1.0,0.8165,0.3225,920.5821,-388.68,514,1
Arhar/Tur,2004,Rabi,Andhra Pradesh,0.485,215.11,0.5249999999999999,Neutral,Moderate,Low,1.0,0.8165,0.3225,920.5821,-705.47,514,2
Arhar/Tur,2005,Kharif,Andhra Pradesh,0.554545455,594.74,-0.1,Neutral,Weak,Low,2.0,0.8165,0.3225,920.5821,-325.84,514,1
Arhar/Tur,2006,Kharif,Andhra Pradesh,0.420454545,593.84,0.3399999999999999,Neutral,Weak,Low,2.0,0.8165,0.3225,920.5821,-326.74,514,1
Arhar/Tur,2006,Rabi,Andhra Pradesh,0.433333333,249.8,0.0249999999999999,La Nina,Weak,Low,2.0,0.8165,0.3225,920.5821,-670.78,514,2
Arhar/Tur,2007,Kharif,Andhra Pradesh,0.635714286,873.719999999999,-0.86,La Nina,Moderate,Normal,2.0,0.8165,0.3225,920.5821,-46.86,514,1
Arhar/Tur,2008,Kharif,Andhra Pradesh,0.530909091,574.45,-0.36,Neutral,Weak,Low,2.0,0.8165,0.3225,920.5821,-346.13,514,1
Arhar/Tur,2008,Rabi,Andhra Pradesh,0.56,283.17,-1.1,La Nina,Strong,Low,2.0,0.8165,0.3225,920.5821,-637.41,514,2
Arhar/Tur,2009,Kharif,Andhra Pradesh,0.525909091,588.01,0.62,El Nino,Moderate,Low,2.0,0.8165,0.3225,920.5821,-332.57,514,1
Arhar/Tur,2009,Rabi,Andhra Pradesh,0.52,228.51,0.35,La Nina,Weak,Low,2.0,0.8165,0.3225,920.5821,-692.07,514,2
Arhar/Tur,2010,Kharif,Andhra Pradesh,0.466363636,845.71,-1.24,La Nina,Strong,Normal,2.0,0.8165,0.3225,920.5821,-74.87,514,1
Arhar/Tur,2010,Rabi,Andhra Pradesh,0.483333333,408.08,-0.1,El Nino,Weak,Low,2.0,0.8165,0.3225,920.5821,-512.5,514,2
Arhar/Tur,2011,Kharif,Andhra Pradesh,0.435454545,525.28,-0.64,La Nina,Moderate,Low,2.0,0.8165,0.3225,920.5821,-395.3,514,1
Arhar/Tur,2011,Rabi,Andhra Pradesh,0.455294118,163.41,-1.05,La Nina,Strong,Low,2.0,0.8165,0.3225,920.5821,-757.17,514,2
Arhar/Tur,2012,Kharif,Andhra Pradesh,0.5885,586.23,0.3,Neutral,Weak,Low,2.0,0.8165,0.3225,920.5821,-334.35,514,1
Arhar/Tur,2013,Kharif,Andhra Pradesh,0.696923077,742.329999999999,-0.26,Neutral,Weak,Normal,2.0,0.8165,0.3225,920.5821,-178.25,514,1
Arhar/Tur,2013,Rabi,Andhra Pradesh,0.736,308.93,-0.225,Neutral,Weak,Low,2.0,0.8165,0.3225,920.5821,-611.65,514,2
Arhar/Tur,2014,Kharif,Andhra Pradesh,0.634615385,559.39,0.24,Neutral,Weak,Low,2.0,0.8165,0.3225,920.5821,-361.19,514,1
Arhar/Tur,2014,Rabi,Andhra Pradesh,0.727,227.63,0.225,Neutral,Weak,Low,2.0,0.8165,0.3225,920.5821,-692.95,514,2
Arhar/Tur,2015,Kharif,Andhra Pradesh,0.579230769,608.36,1.9,El Nino,Strong,Low,3.0,0.8165,0.3225,920.5821,-312.22,514,1
Arhar/Tur,2015,Rabi,Andhra Pradesh,0.643,338.8,1.6749999999999998,El Nino,Strong,Low,3.0,0.8165,0.3225,920.5821,-581.78,514,2
Arhar/Tur,2016,Kharif,Andhra Pradesh,0.493076923,726.59,-0.4,La Nina,Weak,Normal,3.0,0.8165,0.3225,920.5821,-193.99,514,1
Arhar/Tur,2016,Rabi,Andhra Pradesh,0.481818182,118.83,0.95,El Nino,Moderate,Low,3.0,0.8165,0.3225,920.5821,-801.75,514,2
Arhar/Tur,2017,Kharif,Andhra Pradesh,0.567692308,681.1,-0.08,Neutral,Weak,Low,3.0,0.8165,0.3225,920.5821,-239.48,514,1
Arhar/Tur,2017,Rabi,Andhra Pradesh,0.55,240.27,-0.475,Neutral,Weak,Low,3.0,0.8165,0.3225,920.5821,-680.31,514,2
Arhar/Tur,2018,Kharif,Andhra Pradesh,0.311538462,618.42,0.36,Neutral,Weak,Low,3.0,0.8165,0.3225,920.5821,-302.16,514,1
Arhar/Tur,2018,Rabi,Andhra Pradesh,0.31,168.12,0.1,La Nina,Weak,Low,3.0,0.8165,0.3225,920.5821,-752.46,514,2
Arhar/Tur,2019,Kharif,Andhra Pradesh,0.44,721.96,0.32,Neutral,Weak,Normal,3.0,0.8165,0.3225,920.5821,-198.62,514,1
Arhar/Tur,2019,Rabi,Andhra Pradesh,0.43,349.63,0.775,El Nino,Moderate,Low,3.0,0.8165,0.3225,920.5821,-570.95,514,2
Bajra,1997,Kharif,Andhra Pradesh,0.815882353,421.52,1.82,El Nino,Strong,Low,1.0,1.2121,0.6556,684.0636,-262.54,523,1
